id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
6PneuUyZWd8jfbP6ofsmAz,How Will I Know,Cousteau,06q713vQk6OonW1OFi08UJ,['Cousteau'],['6CKIxoIZhY2vZm6fQZFevA'],5,1,FALSE,0.373,0.551,0,-7.929,1,0.0365,0.543,0.000246,0.103,0.413,141.128,263560,4,2000,2000
3ME2tArFXJxO2BJrmsGUrE,Up Against The Wall,Celebrity,7zBue2Vuzg4Z3ncRXaIkJg,['*NSYNC'],['6Ff53KvcvAj5U7Z1vojB5o'],8,1,FALSE,0.721,0.865,9,-4.602,0,0.0588,0.00222,2.76E-06,0.219,0.928,129.027,217533,4,2001,7/24/2001
4joOSX3M71Gl3e2z3fnyLt,Plastic Jesus,Prairie Home Invasion,2fdICuiz7D1akByF23WZxC,"['Jello Biafra', 'Mojo Nixon']","['1ddbFlSqbqp2vuJd5CuRcE', '3FT2gnR0oxBirr2rD3OmwQ']",13,1,FALSE,0.608,0.896,5,-8.048,1,0.0339,0.0442,0.0145,0.337,0.903,107.468,271360,4,1994,1994
2EaORsICfBOD4L2DGWBlK4,Alone,Wait For Me,4zDoidNRO3T32ynjZavA3B,['Susan Tedeschi'],['5Ws3s6lSP4Un8kQf8CrAta'],1,1,FALSE,0.643,0.619,7,-7.711,0,0.0283,0.0699,0,0.111,0.694,98.17,261827,4,2002,11/19/2002
1BpXQXeWcTY942wFXJtDsF,And Ever,Forever,2SnhePzPZfzW4HUq5RlmHn,['Cranes'],['5q2ehaRqAFmM6tLl4vaVwP'],8,1,FALSE,0.595,0.268,11,-18.114,1,0.0337,0.66,0.87,0.108,0.17,140.048,248093,3,1993,4/26/1993
5ue8870MW3h4I05S8Leuw8,Quite a Feeling,C'mon Let's Pretend,6iIoj8QCjUqtWHmFPMIAub,['Sahara Hotnights'],['2VPvWVAiP9GICmwh4bLUuE'],2,1,FALSE,0.513,0.877,9,-4.581,1,0.0416,0.000386,2.87E-06,0.265,0.257,138.01,223187,4,1999,10/21/1999
05vwpro5Xu4JyptXT8lsup,"12 Caprices, Op. 25: No. 6. Adagio largamente",Piatti: Caprices for Solo Cello,2Easb8V529K45S6SgEjYE9,"['Alfredo Piatti', 'Soo Bae']","['4D2c8JnUk0Scu2PD2XcZFf', '0iWhhC8c4zQwixZlp7xAA8']",7,1,FALSE,0.209,0.0304,8,-27.026,1,0.0495,0.993,0.959,0.094,0.135,84.716,264573,4,2011,6/7/2011
53pZ8y3yMYUNpclGwIufu0,Conga,Greatest Hits,5wkQo9u8qrKOdfGqoizWPo,"['Gloria Estefan', 'Miami Sound Machine']","['5IFCkqu9J6xdWeYMk5I889', '18xgcedCGxFbqLbIQn5R8F']",1,1,FALSE,0.791,0.86,2,-8.282,1,0.0451,0.118,0.105,0.0614,0.906,122.3,255760,4,1985,1985
485gzOEOMxexQs8k6GZ5XZ,216 - Das Geheimnis im Jagdschloss - Teil 29,216/Das Geheimnis im Jagdschloss,4Q2dNebUPEFTWBlD4gxuKL,['TKKG'],['61qDotnjM0jnY5lkfOP7ve'],31,1,FALSE,0.627,0.215,8,-24.011,1,0.674,0.56,0,0.397,0.52,127.245,97227,5,2020,11/20/2020
6JC1i0HTm0R1ppOucOvORu,Made Up My Mind,Diamond Dave,699SkGK5r66007onrzXzhN,"['David Lee Roth', 'Brian Young', 'Ray Luzier', 'James Lomenzo', 'Jeremy Zuckerman']","['0KyCXNSa7ZMb5LydfKbLG3', '5uNwgCoENIHaACxxMz4q07', '6GkkjXQFA2i05eFQnkzAsh', '32oqQn0a8tBCWzXpkqAmpk', '1fbkVAnlEb34awQtWEDa6W']",2,1,FALSE,0.448,0.956,9,-3.058,1,0.215,0.106,0.000821,0.28,0.506,172.472,180560,4,2003,2003
6OEgelimCBiG9e80tgpijk,Intrnlrrr,Triskaideka,56fbZvq0zny3N7HQX2g9BF,['Syndrone'],['4mXZj2vzDAEWLMYsdaFNxH'],7,1,FALSE,0.427,0.737,0,-12.544,1,0.0692,0.00547,0.932,0.109,0.184,144.804,431387,4,2000,2000
2ayBR5tewMznTvwKPQoqg1,Moon Song,Bipolaire,2JN1HmvLA5hd11GXHg6Rh6,"['Le Yu', ""L'Indécis""]","['6wpOwvP3e2A7BvcGa4uHP3', '5p1ichthTka1KT0iUvrlIu']",4,1,FALSE,0.464,0.545,1,-6.623,0,0.268,0.478,0,0.0958,0.514,79.221,296440,4,2016,10/19/2016
7m4BZjARMPbPyt0XIb105G,Can't Feel A Thing,Cedars,3IRiN852ihrX7RgY9d1Qae,['Clearlake'],['6HWZov029BEIi66Yf6ewNy'],4,1,FALSE,0.485,0.617,6,-9.329,0,0.0343,0.0181,0.246,0.135,0.752,146.02,180360,4,2003,8/26/2003
5gsa4C5VEOwAOaEjXlIHhK,Too Far Gone,Renaissance,66sBIBnbbvuoVhc4wZwBIl,['Cosmicity'],['5SHhwLU1p9w64fd1VAOWr4'],7,1,FALSE,0.735,0.995,3,-6.929,1,0.0597,0.0518,0.000666,0.0976,0.795,133.987,204053,4,1999,1999
4DNyrKfcH1IiKPAvKTSNyF,"Overture (Suite) No. 2 in B Minor, BWV 1067: VII. Badinerie",My First Classical Music Album,2l99EYx8kYMrT3nN9KB9ms,"['Johann Sebastian Bach', 'Cologne Chamber Orchestra', 'Helmut Muller-Bruhl']","['5aIqB5nVVvmFsvSdExz408', '16WKM2I7sY0uccRe5tlRc6', '2A5MfDq59CDZg119HhLcT7']",6,1,FALSE,0.515,0.269,11,-21.859,0,0.037,0.847,0.0897,0.0757,0.964,130.998,90107,4,2011,11/1/2011
23VBZ9Qt5w0cX5UjugBA4n,In a World of My Own Making,A Small Deadly Space,0pMR8Y18PiGRlgG12tsdBM,"['Rob Halford', 'Fight']","['7CTjkl9M3enzBBfm1u10Sy', '1o3JGBwBOZeHlL0BOAhD9t']",10,1,FALSE,0.322,0.298,11,-8.274,0,0.0312,0.16,0.00703,0.27,0.0624,101.904,427160,4,1995,3/31/1995
7rFlJt5oQ7eqVt6ZONqYT8,Helt Borte,Helt Borte,7EzqjCZl8OG0RTgsx8J9UR,['Pechenga'],['6nWc8FJj9Aw28TX1p2WxSa'],7,1,FALSE,0.335,0.0274,3,-27.182,0,0.0373,0.931,0.912,0.103,0.208,119.727,188840,4,2011,5/9/2011
2YIp7aR250kRw5VBqznXPM,Between The Two,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],14,1,FALSE,0.501,0.938,11,-5.534,1,0.0421,0.00512,7.13E-05,0.288,0.757,135.245,222373,4,2003,9/23/2003
3hVpfdOo5xWjMxRT7djXFE,feels,Fuzz,54iOTwMz8eAKOtBlnIEw4A,['Moodie Black'],['3rd7jOmgOraHucrcvhYVy6'],2,1,TRUE,0.288,0.986,0,-1.445,0,0.102,0.00105,0.258,0.448,0.0402,92.803,185826,4,2020,3/27/2020
